"","WEATHER_CONDITION","CRASH_HOUR","LATITUDE","LONGITUDE"
"1","CLEAR",11,41.895744505,-87.706709568
"2","CLEAR",9,41.660283894,-87.58866624
"3","RAIN",1,41.691791918,-87.669639641
"4","CLEAR",14,41.750805131,-87.640441369
"5","RAIN",0,41.899487159,-87.687062682
"6","CLEAR",11,41.928604442,-87.707900681
"7","CLEAR",15,41.779757304,-87.605769625
"8","CLEAR",10,41.786450991,-87.69765498
"9","RAIN",11,41.685805895,-87.647557949
"10","CLEAR",8,41.825908339,-87.684718917
"11","CLEAR",12,41.770405133,-87.702796474
"12","CLEAR",19,41.896210596,-87.71253117
"13","CLEAR",17,41.81066193,-87.641328452
"14","CLEAR",17,41.922703831,-87.795068303
"15","CLEAR",19,41.908856726,-87.638375163
"16","CLEAR",13,41.873864614,-87.626130408
"17","CLEAR",23,41.77122922,-87.60587151
"18","CLEAR",13,41.946601205,-87.694090303
"19","CLOUDY/OVERCAST",7,41.808526105,-87.683697376
"20","CLEAR",20,41.968076713,-87.752689057
"21","CLEAR",16,41.778822648,-87.637648866
"22","RAIN",0,41.910679425,-87.671969537
"23","CLEAR",1,41.87404018,-87.745179445
"24","CLEAR",15,41.946192224,-87.807184681
"25","CLEAR",10,41.92040749,-87.786422913
"26","CLEAR",17,41.899820362,-87.628782625
"27","CLEAR",15,41.910269034,-87.702015872
"28","CLEAR",17,41.73616511,-87.625587569
"29","CLEAR",2,41.901464981,-87.765776575
"30","CLEAR",12,41.781437358,-87.771777774
"31","CLEAR",18,41.896546846,-87.629693209
"32","CLEAR",14,41.884249557,-87.706359391
"33","CLEAR",15,41.883682647,-87.649605062
"34","CLEAR",23,42.020445304,-87.666244483
"35","CLEAR",15,41.86149697,-87.661564788
"36","CLEAR",12,41.823642335,-87.629787316
"37","CLEAR",16,41.99567001,-87.712664598
"38","CLOUDY/OVERCAST",6,41.925220386,-87.752298142
"39","CLEAR",15,41.76054115,-87.586330278
"40","CLEAR",15,41.72900808,-87.682166405
"41","CLEAR",14,41.689306661,-87.633981803
"42","CLEAR",12,41.722518041,-87.580015728
"43","CLEAR",11,41.895913683,-87.683290103
"44","CLEAR",16,41.804987162,-87.672018742
"45","CLEAR",15,41.861273963,-87.617851715
"46","CLEAR",18,41.82309676,-87.685018951
"47","RAIN",2,41.778320184,-87.742228925
"48","RAIN",15,41.659009216,-87.617447906
"49","CLEAR",12,41.848874556,-87.666125923
"50","CLEAR",15,41.983027235,-87.774415257
"51","CLEAR",21,41.86403564,-87.619297069
"52","CLEAR",19,41.957681643,-87.747583102
"53","CLEAR",22,41.751354238,-87.607600368
"54","CLEAR",11,41.960924799,-87.729906899
"55","CLEAR",23,41.895019202,-87.758117876
"56","CLEAR",21,41.85415661,-87.661068929
"57","CLEAR",16,41.931695209,-87.742624872
"58","CLEAR",16,41.721514969,-87.624610166
"59","RAIN",14,41.88187971,-87.745489247
"60","CLEAR",14,41.998093973,-87.703473864
"61","CLEAR",8,41.778590696,-87.736334594
"62","CLEAR",23,41.785923271,-87.596183365
"63","CLEAR",16,41.789769192,-87.704820922
"64","RAIN",11,41.985931514,-87.72836921
"65","CLEAR",18,41.936440325,-87.648006212
"66","CLEAR",19,41.874371615,-87.624379528
"67","RAIN",1,41.809143018,-87.626229132
"68","CLEAR",16,41.787001429,-87.607377672
"69","CLEAR",15,41.806572064,-87.742977018
"70","CLEAR",13,41.837132671,-87.704967115
"71","CLEAR",10,41.91013224,-87.694600394
"72","CLEAR",10,41.914057767,-87.631968352
"73","RAIN",0,41.936352576,-87.646508855
"74","CLEAR",19,41.650172336,-87.544879496
"75","RAIN",1,41.968562877,-87.708414537
"76","CLEAR",21,41.893271283,-87.621517672
"77","CLEAR",15,41.903415077,-87.669971441
"78","CLEAR",4,41.731902592,-87.587878586
"79","CLEAR",13,41.895158701,-87.743427257
"80","CLEAR",13,41.881992298,-87.632506627
"81","CLEAR",13,41.968174389,-87.724063404
"82","CLEAR",18,41.847857649,-87.724795305
"83","OTHER",20,41.960527204,-87.772194431
"84","CLEAR",15,41.91825205,-87.651001568
"85","CLEAR",16,41.924135909,-87.729357454
"86","CLEAR",12,41.89010221,-87.628157227
"87","CLEAR",14,41.983717984,-87.661053537
"88","CLEAR",19,41.981546975,-87.654983482
"89","CLEAR",12,41.896138288,-87.755484731
"90","CLEAR",12,41.802290891,-87.593715406
"91","CLEAR",11,41.98675498,-87.710098656
"92","RAIN",0,41.929396386,-87.668440074
"93","CLEAR",18,41.89591575,-87.654689812
"94","CLEAR",10,41.793291653,-87.708601061
"95","CLEAR",14,41.940502619,-87.669398686
"96","CLEAR",12,41.976201139,-87.905309125
"97","CLEAR",20,41.876818253,-87.6308945
"98","CLEAR",11,41.808203054,-87.704125461
"99","CLEAR",13,41.931228539,-87.776115236
"100","CLEAR",11,41.665216543,-87.641340473
"101","CLOUDY/OVERCAST",3,41.937764339,-87.702828614
"102","CLEAR",21,41.76393736,-87.606907524
"103","CLEAR",18,41.890947599,-87.658949502
"104","CLEAR",8,41.694339706,-87.60964225
"105","CLEAR",16,41.909532466,-87.761884601
"106","CLEAR",13,41.8445843,-87.695359843
"107","CLEAR",14,41.775511364,-87.683398276
"108","CLEAR",23,41.938635608,-87.77020598
"109","CLEAR",11,41.910359882,-87.693777026
"110","CLEAR",4,41.795080245,-87.729194744
"111","CLEAR",22,41.789608754,-87.729037482
"112","CLEAR",18,41.931507115,-87.727117794
"113","CLEAR",14,41.854120263,-87.665902343
"114","CLEAR",4,41.659434298,-87.597853029
"115","CLEAR",18,41.902179471,-87.770572427
"116","CLEAR",15,41.75061951,-87.634409299
"117","CLEAR",15,41.887207768,-87.624693374
"118","CLEAR",4,41.771325865,-87.722721377
"119","CLEAR",18,41.860168098,-87.624133184
"120","RAIN",3,41.75967363,-87.667178617
"121","CLEAR",14,41.872374613,-87.725251903
"122","CLEAR",10,41.750750387,-87.634384345
"123","CLEAR",15,41.932872046,-87.717361412
"124","CLEAR",14,41.997482193,-87.78649585
"125","CLEAR",10,41.880634055,-87.742954731
"126","CLEAR",16,41.936640931,-87.63958286
"127","CLEAR",13,41.735654997,-87.702177674
"128","CLEAR",17,41.867914587,-87.632948287
"129","CLEAR",2,41.871219755,-87.686105226
"130","CLEAR",10,41.928277316,-87.727026415
"131","CLEAR",15,41.820916477,-87.693347299
"132","CLEAR",9,41.778748906,-87.692018535
"133","CLEAR",23,41.858372593,-87.627356171
"134","CLEAR",12,41.696313684,-87.596632244
"135","CLEAR",14,41.850079796,-87.639001921
"136","CLEAR",4,41.794642669,-87.63177187
"137","CLEAR",13,41.970677839,-87.679558107
"138","CLEAR",17,41.794806764,-87.631935108
"139","CLEAR",10,41.928367268,-87.67382063
"140","CLEAR",9,41.752425448,-87.726227906
"141","CLEAR",7,41.75634442,-87.56617362
"142","CLEAR",13,41.949577875,-87.713366626
"143","CLEAR",13,42.004982766,-87.6863793
"144","CLEAR",16,41.927011836,-87.64866887
"145","CLEAR",21,41.917450989,-87.711988373
"146","CLEAR",18,41.909417163,-87.711744966
"147","CLEAR",12,41.898544311,-87.620912143
"148","CLEAR",15,41.795932037,-87.650209857
"149","CLEAR",13,41.943257368,-87.640820094
"150","CLEAR",16,41.738785512,-87.575601367
"151","CLEAR",22,41.924299945,-87.733028839
"152","CLEAR",10,41.987222831,-87.65665467
"153","CLEAR",14,41.945731894,-87.788726484
"154","CLEAR",14,41.81845057,-87.704232251
"155","CLEAR",3,41.89972028,-87.673722793
