Latitude,Longitude,crime_hour
41.948117311,-87.733386199,10
41.758109495,-87.571240136,21
41.87926429,-87.743945195,17
41.89484426,-87.630462495,3
41.77052655,-87.71856226,9
41.932308669,-87.722093817,23
41.865213688,-87.727590376,6
41.881693864,-87.652323905,18
41.894917016,-87.757376511,22
41.975233243,-87.670583941,9
41.768647756,-87.657201239,10
41.865213688,-87.727590376,14
41.700770216,-87.643858519,19
41.904655241,-87.707858346,20
41.661987733,-87.590639991,18
41.807759468,-87.677095939,0
41.765323402,-87.636819109,19
41.789358619,-87.700997541,16
41.861835803,-87.715283861,16
41.762249552,-87.664962008,7
41.791685711,-87.654810301,18
41.867595589,-87.69959933,15
41.883209085,-87.633223046,23
41.900353139,-87.710541402,16
41.817749235,-87.621437827,9
41.892543531,-87.624486365,19
41.87926429,-87.743945195,13
41.699799117,-87.629437695,12
42.017676014,-87.665569188,15
41.781414696,-87.604328907,1
41.746583924,-87.632979788,6
41.811155434,-87.705309714,13
41.866428839,-87.703509785,12
41.872992906,-87.63063219,21
42.014255166,-87.806607683,4
41.903194786,-87.752155661,2
41.699403785,-87.605622083,10
41.736037583,-87.646167064,0
41.898767916,-87.624116333,17
41.698599066,-87.526995371,17
41.759331691,-87.630810679,21
41.92061684,-87.637469755,21
41.805757152,-87.675832628,20
41.895479821,-87.714177247,13
41.878123916,-87.633208786,9
41.799707268,-87.617728007,10
41.912673714,-87.752764058,15
41.746213691,-87.643911195,15
41.878123916,-87.633208786,14
41.701107103,-87.634209514,15
41.86709594,-87.723901257,17
41.935574804,-87.768823185,20
41.989243623,-87.665119726,12
41.891412551,-87.647934597,17
41.888993854,-87.626934833,20
41.880545518,-87.741212379,20
41.744991196,-87.717614993,8
41.692927247,-87.54010816,20
41.805221779,-87.727180162,2
41.897547601,-87.688008527,8
41.788140061,-87.786538636,21
41.738690029,-87.738409918,22
41.898767916,-87.624116333,15
41.896176088,-87.660853065,18
41.76551076,-87.60507347,21
41.881600443,-87.627758052,19
41.773085006,-87.568335406,21
41.888993854,-87.626934833,1
41.884396735,-87.749454281,12
41.76469299,-87.638306789,9
41.921312424,-87.697311684,13
41.898767916,-87.624116333,14
41.888666413,-87.652227818,12
41.960869336,-87.73489906,8
41.891844067,-87.667167913,18
41.798331908,-87.686606396,18
